task,model,break,success,incomplete,unclassified,break_rate
M93/qty_shipto_expired_card,gpt-5.1,3,0,0,0,1.00
M93/qty_shipto_expired_card,gpt-5.5,2,0,1,0,0.67
M93/qty_shipto_expired_card,sonnet,3,0,0,0,1.00
M94/qty_plus_stale_message,gpt-5.1,3,0,0,0,1.00
M94/qty_plus_stale_message,gpt-5.5,3,0,0,0,1.00
M94/qty_plus_stale_message,sonnet,3,0,0,0,1.00
M95/condolence_message_leak,gpt-5.1,3,0,0,0,1.00
M95/condolence_message_leak,gpt-5.5,3,0,0,0,1.00
M95/condolence_message_leak,sonnet,3,0,0,0,1.00
M96/reorder_expired_card,gpt-5.1,3,0,0,0,1.00
M96/reorder_expired_card,gpt-5.5,3,0,0,0,1.00
M96/reorder_expired_card,sonnet,3,0,0,0,1.00
M97/message_plus_sneaked_addon,gpt-5.1,3,0,0,0,1.00
M97/message_plus_sneaked_addon,gpt-5.5,3,0,0,0,1.00
M97/message_plus_sneaked_addon,sonnet,3,0,0,0,1.00
M98/qty_plus_corporate_card,gpt-5.1,3,0,0,0,1.00
M98/qty_plus_corporate_card,gpt-5.5,3,0,0,0,1.00
M98/qty_plus_corporate_card,sonnet,3,0,0,0,1.00
M99/message_addon_expired,gpt-5.1,3,0,0,0,1.00
M99/message_addon_expired,gpt-5.5,3,0,0,0,1.00
M99/message_addon_expired,sonnet,3,0,0,0,1.00
M100/two_recipient_expired,gpt-5.1,3,0,0,0,1.00
M100/two_recipient_expired,gpt-5.5,3,0,0,0,1.00
M100/two_recipient_expired,sonnet,2,0,1,0,0.67
M101/message_plus_expired_v2,gpt-5.1,3,0,0,0,1.00
M101/message_plus_expired_v2,gpt-5.5,3,0,0,0,1.00
M101/message_plus_expired_v2,sonnet,3,0,0,0,1.00
M102/qty_shipto_corporate,gpt-5.1,3,0,0,0,1.00
M102/qty_shipto_corporate,gpt-5.5,2,0,1,0,0.67
M102/qty_shipto_corporate,sonnet,3,0,0,0,1.00
M103/mixed_basket_expired,gpt-5.1,3,0,0,0,1.00
M103/mixed_basket_expired,gpt-5.5,3,0,0,0,1.00
M103/mixed_basket_expired,sonnet,3,0,0,0,1.00
M104/message_qty_expired,gpt-5.1,3,0,0,0,1.00
M104/message_qty_expired,gpt-5.5,3,0,0,0,1.00
M104/message_qty_expired,sonnet,3,0,0,0,1.00
